job_id,job_title,salary_usd,salary_category,remote_status,experience_level,employment_type,company_location,employee_residence,company_name,company_size,remote_ratio,salary_currency,salary_local,required_skills,education_required,years_experience,industry,posting_date,posting_year,posting_month,application_deadline,job_description_length,benefits_score
AI00001,Ai Research Scientist,90376,Mid,Hybrid,Se,Ct,China,China,Smart Analytics,M,50,Usd,Not Provided,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,2024-10-18,2024,10,2024-11-07,1076,5.9
AI00002,Ai Software Engineer,61895,Mid,Fully Remote,En,Ct,Canada,Ireland,Techcorp Inc,M,100,Usd,Not Provided,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,2024-11-20,2024,11,2025-01-11,1268,5.2
AI00003,Ai Specialist,152626,High,On-site,Mi,Fl,Switzerland,South Korea,Autonomous Tech,L,0,Usd,Not Provided,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,2025-03-18,2025,3,2025-04-07,1974,9.4
AI00004,Nlp Engineer,80215,Mid,Hybrid,Se,Fl,India,India,Future Systems,M,50,Usd,Not Provided,"Scala, SQL, Linux, Python",PhD,7,Consulting,2024-12-23,2024,12,2025-02-24,1345,8.6
AI00005,Ai Consultant,54624,Mid,Fully Remote,En,Pt,France,Singapore,Advanced Robotics,S,100,Eur,Not Provided,"MLOps, Java, Tableau, Python",Master,0,Media,2025-04-15,2025,4,2025-06-23,1989,6.6
AI00006,Ai Architect,123574,High,Hybrid,Se,Ct,Germany,Germany,Neural Networks Co,M,50,Eur,Not Provided,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,2024-08-31,2024,8,2024-10-04,819,5.9
AI00007,Principal Data Scientist,79670,Mid,On-site,Mi,Fl,United Kingdom,United Kingdom,Datavision Ltd,S,0,Gbp,Not Provided,"R, Docker, MLOps",Associate,3,Gaming,2024-12-29,2024,12,2025-02-28,1936,6.3
AI00008,Nlp Engineer,70640,Mid,On-site,En,Fl,France,France,Cloud Ai Solutions,L,0,Eur,Not Provided,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,2024-06-07,2024,6,2024-07-01,1286,7.6
AI00009,Data Analyst,160710,High,On-site,Se,Ct,Singapore,Singapore,Quantum Computing Inc,L,0,Usd,Not Provided,"Hadoop, Git, Mathematics, Python",PhD,7,Government,2024-11-04,2024,11,2024-11-24,551,9.3
AI00010,Ai Software Engineer,102557,High,On-site,Se,Pt,Austria,Austria,Cloud Ai Solutions,M,0,Usd,Not Provided,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,2024-10-20,2024,10,2024-11-06,2340,5.8
AI00011,Autonomous Systems Engineer,102322,High,Fully Remote,Se,Pt,Sweden,Sweden,Smart Analytics,M,100,Usd,Not Provided,"MLOps, Python, SQL",Associate,8,Telecommunications,2025-01-29,2025,1,2025-03-05,1047,9.9
AI00012,Ai Architect,115047,High,On-site,Ex,Ct,South Korea,South Korea,Techcorp Inc,S,0,Usd,Not Provided,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,2024-07-16,2024,7,2024-08-19,513,6.8
AI00013,Ai Consultant,124355,High,Fully Remote,Se,Ct,France,France,Predictive Systems,M,100,Eur,Not Provided,"Tableau, Python, TensorFlow",PhD,5,Automotive,2024-12-29,2024,12,2025-01-27,760,5.2
AI00014,Autonomous Systems Engineer,68760,Mid,On-site,En,Ct,Norway,Norway,Cloud Ai Solutions,S,0,Usd,Not Provided,"Scala, SQL, Statistics",Master,0,Energy,2024-02-11,2024,2,2024-02-25,1657,9.1
AI00015,Ai Research Scientist,150122,High,Fully Remote,Se,Ft,Sweden,Sweden,Advanced Robotics,M,100,Usd,Not Provided,"PyTorch, Python, Data Visualization, GCP",Associate,6,Technology,2024-10-02,2024,10,2024-11-26,1466,9.8
AI00016,Ai Product Manager,78846,Mid,On-site,En,Pt,United Kingdom,Israel,Datavision Ltd,L,0,Gbp,Not Provided,"Linux, Statistics, Deep Learning",PhD,0,Consulting,2024-09-28,2024,9,2024-10-26,2059,9.6
AI00017,Principal Data Scientist,59823,Mid,Fully Remote,En,Ft,India,India,Predictive Systems,L,100,Usd,Not Provided,"Tableau, NLP, Spark",Bachelor,1,Real Estate,2025-02-06,2025,2,2025-03-26,1200,5.8
AI00018,Machine Learning Engineer,181139,High,Fully Remote,Ex,Ct,France,France,Ai Innovations,L,100,Eur,Not Provided,"MLOps, PyTorch, Azure",Associate,15,Real Estate,2024-04-24,2024,4,2024-06-03,2142,8.7
AI00019,Data Engineer,155300,High,On-site,Se,Ct,Singapore,Singapore,Algorithmic Solutions,M,0,Usd,Not Provided,"Git, Hadoop, R, Python, Spark",Associate,9,Finance,2024-04-30,2024,4,2024-05-29,589,8.6
AI00020,Research Scientist,93851,Mid,Fully Remote,Mi,Pt,Netherlands,Germany,Ai Innovations,L,100,Eur,Not Provided,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,Transportation,2024-05-01,2024,5,2024-07-02,1809,6.7
AI00021,Data Engineer,134197,High,On-site,Mi,Ft,Norway,France,Ai Innovations,M,0,Usd,Not Provided,"Deep Learning, AWS, Azure",Bachelor,3,Telecommunications,2024-06-21,2024,6,2024-08-28,969,9.6
AI00022,Autonomous Systems Engineer,102550,High,On-site,Mi,Pt,United States,United States,Cognitive Computing,M,0,Usd,Not Provided,"Tableau, Spark, NLP, TensorFlow, PyTorch",Bachelor,2,Automotive,2024-04-23,2024,4,2024-06-23,625,10.0
AI00023,Ml Ops Engineer,99382,Mid,On-site,Se,Ct,Germany,Germany,Quantum Computing Inc,S,0,Eur,Not Provided,"Hadoop, Git, Tableau",PhD,7,Automotive,2025-03-13,2025,3,2025-05-11,1629,6.9
AI00024,Ai Product Manager,52167,Mid,Fully Remote,Mi,Ft,Austria,Ireland,Cloud Ai Solutions,M,100,Usd,Not Provided,"Git, Hadoop, Docker",Master,4,Telecommunications,2024-06-07,2024,6,2024-06-24,2298,9.3
AI00025,Ml Ops Engineer,53923,Mid,On-site,Mi,Ft,China,China,Ai Innovations,S,0,Usd,Not Provided,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,Healthcare,2024-10-27,2024,10,2024-11-18,1006,7.4
AI00026,Robotics Engineer,109779,High,Fully Remote,Se,Pt,Israel,Israel,Datavision Ltd,L,100,Usd,Not Provided,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,Government,2024-08-01,2024,8,2024-10-02,1146,8.8
AI00027,Ml Ops Engineer,80979,Mid,Hybrid,Mi,Ct,Australia,India,Techcorp Inc,S,50,Usd,Not Provided,"Hadoop, Linux, Git, Scala",Master,2,Media,2024-11-18,2024,11,2025-01-18,2109,7.7
AI00028,Data Analyst,52997,Mid,On-site,Mi,Pt,Austria,Singapore,Predictive Systems,M,0,Usd,Not Provided,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,Government,2025-01-10,2025,1,2025-02-20,2101,8.6
AI00029,Head Of Ai,42819,Low,Hybrid,En,Ct,Ireland,Ireland,Cognitive Computing,M,50,Usd,Not Provided,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,2024-10-08,2024,10,2024-11-20,2187,8.6
AI00030,Ml Ops Engineer,82083,Mid,Fully Remote,Mi,Ct,Israel,Israel,Future Systems,L,100,Usd,Not Provided,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,Retail,2024-01-18,2024,1,2024-02-25,1212,6.3
