job_id,job_title,company_name,company_location,employee_residence,industry,experience_level,employment_type,company_size,remote_ratio,remote_status,salary_usd,salary_currency,salary_local,salary_category,required_skills,education_required,years_experience,posting_date,posting_year,posting_month,application_deadline,job_description_length,benefits_score
AI00001,Ai Research Scientist,Smart Analytics,China,China,Automotive,Senior,Contract,Medium (50-249 employees),50,Hybrid,90376,USD,Not Provided,Mid,"Tableau, Pytorch, Kubernetes, Linux, Nlp",Bachelor,9,2024-10-18,2024,10,2024-11-07,1076,5.9
AI00002,Ai Software Engineer,Techcorp Inc,Canada,Ireland,Media,Entry-level,Contract,Medium (50-249 employees),100,Fully Remote,61895,USD,Not Provided,Mid,"Deep Learning, Aws, Mathematics, Python, Docker",Master,1,2024-11-20,2024,11,2025-01-11,1268,5.2
AI00003,Ai Specialist,Autonomous Tech,Switzerland,South Korea,Education,Mid-level,Freelance,Large (250+ employees),0,On-site,152626,USD,Not Provided,High,"Kubernetes, Deep Learning, Java, Hadoop, Nlp",Associate,2,2025-03-18,2025,3,2025-04-07,1974,9.4
AI00004,Nlp Engineer,Future Systems,India,India,Consulting,Senior,Freelance,Medium (50-249 employees),50,Hybrid,80215,USD,Not Provided,Mid,"Scala, Sql, Linux, Python",PhD,7,2024-12-23,2024,12,2025-02-24,1345,8.6
AI00005,Ai Consultant,Advanced Robotics,France,Singapore,Media,Entry-level,Part-time,Small (<50 employees),100,Fully Remote,54624,EUR,Not Provided,Mid,"Mlops, Java, Tableau, Python",Master,0,2025-04-15,2025,4,2025-06-23,1989,6.6
AI00006,Ai Architect,Neural Networks Co,Germany,Germany,Healthcare,Senior,Contract,Medium (50-249 employees),50,Hybrid,123574,EUR,Not Provided,High,"Data Visualization, R, Sql, Linux",Associate,7,2024-08-31,2024,8,2024-10-04,819,5.9
AI00007,Principal Data Scientist,Datavision Ltd,United Kingdom,United Kingdom,Gaming,Mid-level,Freelance,Small (<50 employees),0,On-site,79670,GBP,Not Provided,Mid,"R, Docker, Mlops",Associate,3,2024-12-29,2024,12,2025-02-28,1936,6.3
AI00008,Nlp Engineer,Cloud Ai Solutions,France,France,Healthcare,Entry-level,Freelance,Large (250+ employees),0,On-site,70640,EUR,Not Provided,Mid,"Python, Sql, Computer Vision, Java, Azure",Master,0,2024-06-07,2024,6,2024-07-01,1286,7.6
AI00009,Data Analyst,Quantum Computing Inc,Singapore,Singapore,Government,Senior,Contract,Large (250+ employees),0,On-site,160710,USD,Not Provided,High,"Hadoop, Git, Mathematics, Python",PhD,7,2024-11-04,2024,11,2024-11-24,551,9.3
AI00010,Ai Software Engineer,Cloud Ai Solutions,Austria,Austria,Government,Senior,Part-time,Medium (50-249 employees),0,On-site,102557,USD,Not Provided,High,"Mlops, Gcp, Scala, Azure, Linux",Master,5,2024-10-20,2024,10,2024-11-06,2340,5.8
AI00011,Autonomous Systems Engineer,Smart Analytics,Sweden,Sweden,Telecommunications,Senior,Part-time,Medium (50-249 employees),100,Fully Remote,102322,USD,Not Provided,High,"Mlops, Python, Sql",Associate,8,2025-01-29,2025,1,2025-03-05,1047,9.9
AI00012,Ai Architect,Techcorp Inc,South Korea,South Korea,Manufacturing,Executive,Contract,Small (<50 employees),0,On-site,115047,USD,Not Provided,High,"R, Data Visualization, Python, Azure",Master,15,2024-07-16,2024,7,2024-08-19,513,6.8
AI00013,Ai Consultant,Predictive Systems,France,France,Automotive,Senior,Contract,Medium (50-249 employees),100,Fully Remote,124355,EUR,Not Provided,High,"Tableau, Python, Tensorflow",PhD,5,2024-12-29,2024,12,2025-01-27,760,5.2
AI00014,Autonomous Systems Engineer,Cloud Ai Solutions,Norway,Norway,Energy,Entry-level,Contract,Small (<50 employees),0,On-site,68760,USD,Not Provided,Mid,"Scala, Sql, Statistics",Master,0,2024-02-11,2024,2,2024-02-25,1657,9.1
